setting,model_name,feature_set,n_pairs,accuracy,balanced_accuracy,roc_auc,ci_lower,ci_upper,notes
paired,simple_rule_oz_alpha,oz_alpha_log,591,0.934010152284264,,,0.9137055837563451,0.9526226734348562,Simple paired rule: higher feature value is predicted as EC.
paired,simple_rule_occipital_alpha,occipital_alpha_log,591,0.9441624365482234,,,0.9238578680203046,0.9627749576988156,Simple paired rule: higher feature value is predicted as EC.
paired,simple_rule_posterior_alpha,posterior_alpha_log,591,0.937394247038917,,,0.9187817258883249,0.9560067681895094,Simple paired rule: higher feature value is predicted as EC.
paired,paired_lr_posterior_alpha_L2,posterior_alpha_log,591,0.9424703891708968,0.9424587723316538,0.9882844709115897,0.9238578680203046,0.961082910321489,"Paired logistic regression using order-independent feature differences. Penalty=l2, C=1.0."
paired,paired_lr_posterior_channels_L2,"ch_P7_alpha_log, ch_P3_alpha_log, ch_Pz_alpha_log, ch_P4_alpha_log, ch_P8_alpha_log, ch_PO9_alpha_log, ch_O1_alpha_log, ch_Oz_alpha_log, ch_O2_alpha_log, ch_PO10_alpha_log, ch_P5_alpha_log, ch_P1_alpha_log, ch_P2_alpha_log, ch_P6_alpha_log, ch_PO7_alpha_log, ch_PO3_alpha_log, ch_POz_alpha_log, ch_PO4_alpha_log, ch_PO8_alpha_log",591,0.9424703891708968,0.9424644983967018,0.9896816307833256,0.9238578680203046,0.961082910321489,"Paired logistic regression using order-independent feature differences. Penalty=l2, C=1.0."
paired,paired_lr_welch_multiband_L2,"posterior_delta_log, posterior_theta_log, posterior_alpha_log, posterior_beta_log, posterior_high_beta_log, posterior_alpha_rel",591,0.9746192893401016,0.9746106275767292,0.9963696747595052,0.961082910321489,0.9864636209813875,"Paired logistic regression using order-independent feature differences. Penalty=l2, C=1.0."
paired,paired_lr_fooof_L2,"fooof_alpha_cf, fooof_alpha_peak_power, fooof_alpha_bandwidth, fooof_aperiodic_exponent",591,0.9458544839255499,0.9458715071003208,0.9890174072377462,0.9272419627749577,0.9627749576988156,"Paired logistic regression using order-independent feature differences. Penalty=l2, C=1.0."
paired,paired_lr_combined_L2,"ch_P7_alpha_log, ch_P3_alpha_log, ch_Pz_alpha_log, ch_P4_alpha_log, ch_P8_alpha_log, ch_PO9_alpha_log, ch_O1_alpha_log, ch_Oz_alpha_log, ch_O2_alpha_log, ch_PO10_alpha_log, ch_P5_alpha_log, ch_P1_alpha_log, ch_P2_alpha_log, ch_P6_alpha_log, ch_PO7_alpha_log, ch_PO3_alpha_log, ch_POz_alpha_log, ch_PO4_alpha_log, ch_PO8_alpha_log, posterior_delta_log, posterior_theta_log, posterior_alpha_log, posterior_beta_log, posterior_high_beta_log, posterior_alpha_rel, fooof_alpha_cf, fooof_alpha_peak_power, fooof_alpha_bandwidth, fooof_aperiodic_exponent",591,0.9678510998307953,0.9678595968850205,0.9966216216216216,0.9526226734348562,0.9813874788494078,"Paired logistic regression using order-independent feature differences. Penalty=l2, C=1.0."
paired,paired_lr_posterior_channels_L1,"ch_P7_alpha_log, ch_P3_alpha_log, ch_Pz_alpha_log, ch_P4_alpha_log, ch_P8_alpha_log, ch_PO9_alpha_log, ch_O1_alpha_log, ch_Oz_alpha_log, ch_O2_alpha_log, ch_PO10_alpha_log, ch_P5_alpha_log, ch_P1_alpha_log, ch_P2_alpha_log, ch_P6_alpha_log, ch_PO7_alpha_log, ch_PO3_alpha_log, ch_POz_alpha_log, ch_PO4_alpha_log, ch_PO8_alpha_log",591,0.9390862944162437,0.9390803939532752,0.9896701786532294,0.9204737732656514,0.9576988155668359,"Paired logistic regression using order-independent feature differences. Penalty=l1, C=1.0."
paired,paired_lr_welch_multiband_L1,"posterior_delta_log, posterior_theta_log, posterior_alpha_log, posterior_beta_log, posterior_high_beta_log, posterior_alpha_rel",591,0.9746192893401016,0.9746278057718736,0.9968392120934494,0.961082910321489,0.9864636209813875,"Paired logistic regression using order-independent feature differences. Penalty=l1, C=1.0."
paired,paired_lr_combined_L1,"ch_P7_alpha_log, ch_P3_alpha_log, ch_Pz_alpha_log, ch_P4_alpha_log, ch_P8_alpha_log, ch_PO9_alpha_log, ch_O1_alpha_log, ch_Oz_alpha_log, ch_O2_alpha_log, ch_PO10_alpha_log, ch_P5_alpha_log, ch_P1_alpha_log, ch_P2_alpha_log, ch_P6_alpha_log, ch_PO7_alpha_log, ch_PO3_alpha_log, ch_POz_alpha_log, ch_PO4_alpha_log, ch_PO8_alpha_log, posterior_delta_log, posterior_theta_log, posterior_alpha_log, posterior_beta_log, posterior_high_beta_log, posterior_alpha_rel, fooof_alpha_cf, fooof_alpha_peak_power, fooof_alpha_bandwidth, fooof_aperiodic_exponent",591,0.9695431472081218,0.9695545121392579,0.9965185524507558,0.9543147208121827,0.9830795262267343,"Paired logistic regression using order-independent feature differences. Penalty=l1, C=1.0."
