Analysis setting,Model,N,Accuracy,AUC
Paired full recording,Oz alpha rule,591,0.934 (0.914–0.953),
Paired full recording,Occipital alpha rule,591,0.944 (0.924–0.963),
Paired full recording,Posterior alpha rule,591,0.937 (0.919–0.956),
Paired full recording,Posterior alpha LR,591,0.942 (0.924–0.961),0.988
Paired full recording,Posterior-channel alpha LR,591,0.942 (0.924–0.961),0.990
Paired full recording,Welch multiband LR,591,0.975 (0.961–0.986),0.996
Paired full recording,FOOOF LR,591,0.946 (0.927–0.963),0.989
Paired full recording,Combined LR,591,0.968 (0.953–0.981),0.997
Subject-independent full recording,Oz alpha LR,1193,0.718 (0.698–0.738),0.771
Subject-independent full recording,Occipital alpha LR,1193,0.726 (0.706–0.746),0.781
Subject-independent full recording,Posterior alpha LR,1193,0.710 (0.690–0.730),0.772
Subject-independent full recording,Posterior-channel alpha LR,1193,0.788 (0.768–0.808),0.844
Subject-independent full recording,Welch multiband LR,1193,0.812 (0.792–0.833),0.892
Subject-independent full recording,FOOOF LR,1193,0.772 (0.750–0.793),0.857
Subject-independent full recording,Combined LR,1193,0.846 (0.826–0.865),0.922
Epoch-calibrated,Oz alpha median threshold,6988,0.876 (0.859–0.892),
Epoch-calibrated,Occipital alpha median threshold,6988,0.885 (0.868–0.901),
Epoch-calibrated,Posterior alpha median threshold,6988,0.882 (0.866–0.898),
