participant_id,condition,channel_set,epoch_index,alpha_power_8_12,n_channels
sub-001,EyesClosed,oz,0,-10.281220466412869,1
sub-001,EyesClosed,oz,1,-10.601310219870589,1
sub-001,EyesClosed,oz,2,-10.489793122218375,1
sub-001,EyesClosed,oz,3,-10.510208214641999,1
sub-001,EyesClosed,oz,4,-10.63093065925053,1
sub-001,EyesClosed,oz,5,-10.529764483769892,1
sub-001,EyesOpen,oz,0,-11.438540387755578,1
sub-001,EyesOpen,oz,1,-11.517320087817257,1
sub-001,EyesOpen,oz,2,-11.520392717221569,1
sub-001,EyesOpen,oz,3,-11.45773994402015,1
sub-001,EyesOpen,oz,4,-11.340575904573875,1
sub-001,EyesOpen,oz,5,-11.374465859232282,1
sub-002,EyesClosed,oz,0,-10.89274048517622,1
sub-002,EyesClosed,oz,1,-10.420844104879261,1
sub-002,EyesClosed,oz,2,-10.142053411165275,1
sub-002,EyesClosed,oz,3,-10.306522008712754,1
sub-002,EyesClosed,oz,4,-10.212662998727422,1
sub-002,EyesClosed,oz,5,-10.359435746576375,1
sub-002,EyesOpen,oz,0,-11.609364412422144,1
sub-002,EyesOpen,oz,1,-11.72792593737459,1
sub-002,EyesOpen,oz,2,-11.30897661112668,1
sub-002,EyesOpen,oz,3,-11.49941149951306,1
sub-002,EyesOpen,oz,4,-11.61237966189392,1
sub-002,EyesOpen,oz,5,-11.458517333988505,1
sub-003,EyesClosed,oz,0,-10.949198718242627,1
sub-003,EyesClosed,oz,1,-10.761185515910118,1
sub-003,EyesClosed,oz,2,-10.80450666662324,1
sub-003,EyesClosed,oz,3,-10.710730959904565,1
sub-003,EyesClosed,oz,4,-11.185085443420254,1
sub-003,EyesClosed,oz,5,-11.066262920813557,1
sub-003,EyesClosed,oz,6,-11.550330845314583,1
sub-003,EyesOpen,oz,0,-11.834010942647529,1
sub-003,EyesOpen,oz,1,-11.767505631345877,1
sub-003,EyesOpen,oz,2,-11.788126145938291,1
sub-003,EyesOpen,oz,3,-11.548633824329212,1
sub-003,EyesOpen,oz,4,-11.540978317687173,1
sub-003,EyesOpen,oz,5,-11.720205139303475,1
sub-004,EyesClosed,oz,0,-10.101253612167811,1
sub-004,EyesClosed,oz,1,-10.073929480915767,1
sub-004,EyesClosed,oz,2,-10.096999157664765,1
sub-004,EyesClosed,oz,3,-10.044345987271326,1
sub-004,EyesClosed,oz,4,-10.231740578537961,1
sub-004,EyesClosed,oz,5,-10.108674528026164,1
sub-004,EyesOpen,oz,0,-11.364401497970015,1
sub-004,EyesOpen,oz,1,-11.269379359719808,1
sub-004,EyesOpen,oz,2,-11.531304655899326,1
sub-004,EyesOpen,oz,3,-11.340940636234293,1
sub-004,EyesOpen,oz,4,-11.202484822570453,1
sub-004,EyesOpen,oz,5,-11.3117726755571,1
sub-004,EyesOpen,oz,6,-11.413033987737318,1
sub-005,EyesClosed,oz,0,-10.823000647830044,1
sub-005,EyesClosed,oz,1,-10.826293859166634,1
sub-005,EyesClosed,oz,2,-10.78536839179298,1
sub-005,EyesClosed,oz,3,-10.747805726701017,1
sub-005,EyesClosed,oz,4,-10.717158592104225,1
sub-005,EyesClosed,oz,5,-10.772747384333881,1
sub-005,EyesOpen,oz,0,-11.548159008633448,1
sub-005,EyesOpen,oz,1,-11.709450425069502,1
sub-005,EyesOpen,oz,2,-11.598354976337163,1
sub-005,EyesOpen,oz,3,-11.724084962188497,1
sub-005,EyesOpen,oz,4,-11.567822196708322,1
sub-005,EyesOpen,oz,5,-11.522243404656248,1
sub-006,EyesClosed,oz,0,-10.87736598675995,1
sub-006,EyesClosed,oz,1,-10.939400903174283,1
sub-006,EyesClosed,oz,2,-10.947026311472989,1
sub-006,EyesClosed,oz,3,-10.985520224454369,1
sub-006,EyesClosed,oz,4,-10.927243891467368,1
sub-006,EyesClosed,oz,5,-11.030056401209784,1
sub-006,EyesOpen,oz,0,-11.299301882181362,1
sub-006,EyesOpen,oz,1,-11.090661503665446,1
sub-006,EyesOpen,oz,2,-11.023193720998606,1
sub-006,EyesOpen,oz,3,-11.309920748154504,1
sub-006,EyesOpen,oz,4,-11.269700450262032,1
sub-006,EyesOpen,oz,5,-11.260238842212761,1
sub-007,EyesClosed,oz,0,-10.904824760208696,1
sub-007,EyesClosed,oz,1,-10.947737487379213,1
sub-007,EyesClosed,oz,2,-10.883980482723647,1
sub-007,EyesClosed,oz,3,-10.9292901822943,1
sub-007,EyesClosed,oz,4,-11.02585180847114,1
sub-007,EyesClosed,oz,5,-10.986375701388873,1
sub-007,EyesOpen,oz,0,-11.483276226729016,1
sub-007,EyesOpen,oz,1,-11.674200441710887,1
sub-007,EyesOpen,oz,2,-11.677185418683264,1
sub-007,EyesOpen,oz,3,-11.715090830375392,1
sub-007,EyesOpen,oz,4,-11.477475427825421,1
sub-007,EyesOpen,oz,5,-11.584464319610115,1
sub-008,EyesClosed,oz,0,-11.011435316309276,1
sub-008,EyesClosed,oz,1,-11.126052948654534,1
sub-008,EyesClosed,oz,2,-11.400605526610795,1
sub-008,EyesClosed,oz,3,-10.932051997714339,1
sub-008,EyesClosed,oz,4,-11.123687226686698,1
sub-008,EyesClosed,oz,5,-11.061709747149866,1
sub-008,EyesOpen,oz,0,-11.484988290670234,1
sub-008,EyesOpen,oz,1,-11.445283083699326,1
sub-008,EyesOpen,oz,2,-11.409835587658574,1
sub-008,EyesOpen,oz,3,-11.455294557225091,1
sub-008,EyesOpen,oz,4,-11.451726805758078,1
sub-008,EyesOpen,oz,5,-11.332983668469893,1
sub-009,EyesClosed,oz,0,-10.42300279563437,1
sub-009,EyesClosed,oz,1,-10.517946593962336,1
sub-009,EyesClosed,oz,2,-7.043492797642493,1
sub-009,EyesClosed,oz,3,-10.49685262294619,1
sub-009,EyesClosed,oz,4,-10.777731226237648,1
sub-009,EyesClosed,oz,5,-10.582218593762596,1
sub-009,EyesClosed,oz,6,-10.700710789490842,1
sub-009,EyesOpen,oz,0,-10.194773389300916,1
sub-009,EyesOpen,oz,1,-10.40212561854578,1
sub-009,EyesOpen,oz,2,-10.039164143703966,1
sub-009,EyesOpen,oz,3,-10.51409136603257,1
sub-009,EyesOpen,oz,4,-9.896331463418733,1
sub-009,EyesOpen,oz,5,-9.944447750635868,1
sub-010,EyesClosed,oz,0,-10.14370360734204,1
sub-010,EyesClosed,oz,1,-9.862851074775293,1
sub-010,EyesClosed,oz,2,-9.842068537002694,1
sub-010,EyesClosed,oz,3,-10.00527078010028,1
sub-010,EyesClosed,oz,4,-9.932216668379018,1
sub-010,EyesClosed,oz,5,-9.802991638675847,1
sub-010,EyesOpen,oz,0,-10.442290158590529,1
sub-010,EyesOpen,oz,1,-9.956299153874978,1
sub-010,EyesOpen,oz,2,-10.215776420825275,1
sub-010,EyesOpen,oz,3,-10.838184753785404,1
sub-010,EyesOpen,oz,4,-11.15174299206225,1
sub-010,EyesOpen,oz,5,-11.179801075320173,1
