participant_id,condition,channel_set,epoch_index,alpha_power_8_12,n_channels,participant_median_alpha,predicted_condition,correct
sub-001,EyesClosed,posterior,0,-9.01616185246885,19,-9.510949561965312,EyesClosed,True
sub-001,EyesClosed,posterior,1,-9.092939935208578,19,-9.510949561965312,EyesClosed,True
sub-001,EyesClosed,posterior,2,-9.026158225486391,19,-9.510949561965312,EyesClosed,True
sub-001,EyesClosed,posterior,3,-8.98898413900553,19,-9.510949561965312,EyesClosed,True
sub-001,EyesClosed,posterior,4,-9.032514829406232,19,-9.510949561965312,EyesClosed,True
sub-001,EyesClosed,posterior,5,-9.009846370104066,19,-9.510949561965312,EyesClosed,True
sub-001,EyesOpen,posterior,0,-10.030035840039766,19,-9.510949561965312,EyesOpen,True
sub-001,EyesOpen,posterior,1,-10.142021012672478,19,-9.510949561965312,EyesOpen,True
sub-001,EyesOpen,posterior,2,-10.209553284079854,19,-9.510949561965312,EyesOpen,True
sub-001,EyesOpen,posterior,3,-10.074649748677798,19,-9.510949561965312,EyesOpen,True
sub-001,EyesOpen,posterior,4,-10.021167082059119,19,-9.510949561965312,EyesOpen,True
sub-001,EyesOpen,posterior,5,-9.928959188722043,19,-9.510949561965312,EyesOpen,True
sub-002,EyesClosed,posterior,0,-9.545422465103119,19,-9.715113910252487,EyesClosed,True
sub-002,EyesClosed,posterior,1,-9.184185922063648,19,-9.715113910252487,EyesClosed,True
sub-002,EyesClosed,posterior,2,-8.939774413268134,19,-9.715113910252487,EyesClosed,True
sub-002,EyesClosed,posterior,3,-9.118666035572359,19,-9.715113910252487,EyesClosed,True
sub-002,EyesClosed,posterior,4,-8.956152361827803,19,-9.715113910252487,EyesClosed,True
sub-002,EyesClosed,posterior,5,-9.104585548673294,19,-9.715113910252487,EyesClosed,True
sub-002,EyesOpen,posterior,0,-10.227412938570392,19,-9.715113910252487,EyesOpen,True
sub-002,EyesOpen,posterior,1,-10.353762441154112,19,-9.715113910252487,EyesOpen,True
sub-002,EyesOpen,posterior,2,-9.884805355401854,19,-9.715113910252487,EyesOpen,True
sub-002,EyesOpen,posterior,3,-9.95499056591724,19,-9.715113910252487,EyesOpen,True
sub-002,EyesOpen,posterior,4,-9.989319530217651,19,-9.715113910252487,EyesOpen,True
sub-002,EyesOpen,posterior,5,-10.004521568644583,19,-9.715113910252487,EyesOpen,True
sub-003,EyesClosed,posterior,0,-9.82118143941031,19,-10.419752984660448,EyesClosed,True
sub-003,EyesClosed,posterior,1,-9.681421803163365,19,-10.419752984660448,EyesClosed,True
sub-003,EyesClosed,posterior,2,-9.66407412488482,19,-10.419752984660448,EyesClosed,True
sub-003,EyesClosed,posterior,3,-9.605161933593777,19,-10.419752984660448,EyesClosed,True
sub-003,EyesClosed,posterior,4,-10.118018048072637,19,-10.419752984660448,EyesClosed,True
sub-003,EyesClosed,posterior,5,-10.001069505105399,19,-10.419752984660448,EyesClosed,True
sub-003,EyesClosed,posterior,6,-10.419752984660448,19,-10.419752984660448,EyesOpen,False
sub-003,EyesOpen,posterior,0,-10.59307863837024,19,-10.419752984660448,EyesOpen,True
sub-003,EyesOpen,posterior,1,-10.57254694688573,19,-10.419752984660448,EyesOpen,True
sub-003,EyesOpen,posterior,2,-10.62682444798477,19,-10.419752984660448,EyesOpen,True
sub-003,EyesOpen,posterior,3,-10.478926262413188,19,-10.419752984660448,EyesOpen,True
sub-003,EyesOpen,posterior,4,-10.497533345699367,19,-10.419752984660448,EyesOpen,True
sub-003,EyesOpen,posterior,5,-10.54817340639679,19,-10.419752984660448,EyesOpen,True
sub-004,EyesClosed,posterior,0,-8.937413843107622,19,-10.008410721254112,EyesClosed,True
sub-004,EyesClosed,posterior,1,-8.84664518912784,19,-10.008410721254112,EyesClosed,True
sub-004,EyesClosed,posterior,2,-8.93322557478363,19,-10.008410721254112,EyesClosed,True
sub-004,EyesClosed,posterior,3,-8.868324863983661,19,-10.008410721254112,EyesClosed,True
sub-004,EyesClosed,posterior,4,-8.987606442743179,19,-10.008410721254112,EyesClosed,True
sub-004,EyesClosed,posterior,5,-8.828385043642607,19,-10.008410721254112,EyesClosed,True
sub-004,EyesOpen,posterior,0,-10.1225881843843,19,-10.008410721254112,EyesOpen,True
sub-004,EyesOpen,posterior,1,-10.07831340129317,19,-10.008410721254112,EyesOpen,True
sub-004,EyesOpen,posterior,2,-10.339779758602422,19,-10.008410721254112,EyesOpen,True
sub-004,EyesOpen,posterior,3,-10.101958038813937,19,-10.008410721254112,EyesOpen,True
sub-004,EyesOpen,posterior,4,-10.008410721254112,19,-10.008410721254112,EyesOpen,True
sub-004,EyesOpen,posterior,5,-10.096448942225415,19,-10.008410721254112,EyesOpen,True
sub-004,EyesOpen,posterior,6,-10.22963124846556,19,-10.008410721254112,EyesOpen,True
sub-005,EyesClosed,posterior,0,-9.472235267842894,19,-9.831639225468386,EyesClosed,True
sub-005,EyesClosed,posterior,1,-9.232729739104771,19,-9.831639225468386,EyesClosed,True
sub-005,EyesClosed,posterior,2,-9.388445036480249,19,-9.831639225468386,EyesClosed,True
sub-005,EyesClosed,posterior,3,-9.154579691574487,19,-9.831639225468386,EyesClosed,True
sub-005,EyesClosed,posterior,4,-9.378435094150412,19,-9.831639225468386,EyesClosed,True
sub-005,EyesClosed,posterior,5,-9.36603101215234,19,-9.831639225468386,EyesClosed,True
sub-005,EyesOpen,posterior,0,-10.25740873245264,19,-9.831639225468386,EyesOpen,True
sub-005,EyesOpen,posterior,1,-10.488027474794919,19,-9.831639225468386,EyesOpen,True
sub-005,EyesOpen,posterior,2,-10.191043183093878,19,-9.831639225468386,EyesOpen,True
sub-005,EyesOpen,posterior,3,-10.437948376524908,19,-9.831639225468386,EyesOpen,True
sub-005,EyesOpen,posterior,4,-10.254955981431745,19,-9.831639225468386,EyesOpen,True
sub-005,EyesOpen,posterior,5,-10.243532972792762,19,-9.831639225468386,EyesOpen,True
